station,state,latitude,longitude,elevation,avg_temp,total_prcp
FAITH MUNI AP,SD,45.0319,-102.0192,786.4,50.4043076923077,8.68898107
FALLON NAAS,NV,39.4167,-118.7167,1199.1,59.78687747035573,3.73228548
FALLS CITY BRENNER FLD,NE,40.0803,-95.5919,298.7,58.24676923076923,22.39371288
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,48.947137404580154,11.05906109
FARMINGDALE AP,NY,40.7342,-73.4169,24.7,56.34707692307692,26.9291484
FARMINGTON RGNL AP,NM,36.7436,-108.2292,1674.9,57.91515384615385,6.03149932
FAYETTEVILLE DRAKE FLD,AR,36.0097,-94.1694,381.3,61.69169230769231,44.38585074
FAYETTEVILLE NW AR AP,AR,36.2833,-94.3,392.3,63.30019305019305,45.0393944
FAYETTEVILLE RGNL AP,NC,34.9914,-78.8803,56.7,68.72938223938223,35.53545226
FENTRESS NAAS,VA,36.695,-76.1356,4.9,66.83868725868726,37.9921465
FINDLAY AP,OH,41.0136,-83.6686,243.8,56.74930769230769,32.377970239999996
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,53.70330739299611,34.31891617
FLAGSTAFF PULLIAM AP,AZ,35.1442,-111.6664,2134.5,50.69126923076923,17.91733251
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,52.440648854961836,26.29528979
FLORENCE RGNL AP,SC,34.1853,-79.7239,44.5,68.28280769230768,35.64175153
FOND DU LAC CO AP,WI,43.77,-88.4864,246.6,50.707884615384614,25.55513191
FRANKFORT CAPITAL CITY AP,KY,38.1847,-84.9033,245.1,61.12953846153846,38.04726464
FRENCHVILLE AROOSTOOK AP,ME,47.2856,-68.3133,301.1,41.94776923076923,23.51576073
FRESNO YOSEMITE INTL AP,CA,36.78,-119.7194,101.5,69.23183206106872,12.732290339999999
FRIDAY HARBOR AP,WA,48.5222,-123.0231,33.2,52.04542307692307,3.68110435
FRYEBURG E SLOPES AP,ME,43.9906,-70.9475,135.6,47.65583011583012,35.50001917
FT HUACHUCA PIONEER AIRFIELD,AZ,31.6072,-110.4281,1453.3,66.21557692307692,6.78740524
FT LAUDERDALE EXECUTIVE AP,FL,26.1969,-80.1708,4.3,79.12533073929961,45.33073314
FT LAUDERDALE HOLLYWOOD AP,FL,26.0719,-80.1536,3.4,78.3743893129771,51.42128761
FT MYERS PAGE FLD AP,FL,26.585,-81.8614,4.6,77.92592592592592,58.03940142
FT MYERS SW FL RGNL AP,FL,26.5361,-81.755,9.4,76.73627906976743,67.94491857999999
FT PIERCE ST LUCIE CO INTL AP,FL,27.4981,-80.3767,7.3,75.4115,43.47640143
FT POLK FULLERTON LNDG STRIP,LA,31.15,-92.9667,94.5,71.95096525096525,53.88979288
FT SMITH RGNL AP,AR,35.3331,-94.3625,136.9,66.90729007633587,42.11813298
FT STOCKTON PECOS AP,TX,30.9119,-102.9167,917.4,71.63253846153846,6.13779859
FT WAYNE INTL AP,IN,40.9706,-85.2064,241.1,55.54221374045801,38.71261933
FT WORTH ALLIANCE AP,TX,32.9733,-97.3181,208.8,70.17107692307692,24.95276938
FT WORTH MEACHAM FLD,TX,32.8192,-97.3614,209.4,72.21130769230768,29.09844091
FULLERTON MUNI AP,CA,33.8719,-117.9789,29.3,68.29596153846154,11.20079345
FULTON OSWEGO CO AP,NY,43.3497,-76.3847,144.8,51.20891891891892,32.92521463
Fairbanks F.O.,AK,64.85,-147.8,137.2,34.128396946564884,10.66142308
Fallen Leaf,CA,38.93,-120.05,1900.7,46.50772727272727,54.59058066
Farmington,UT,40.99,-111.82,2438.4,45.455681818181816,44.17718921
Farmington Lower,UT,40.97,-111.81,2066.2,45.775454545454544,36.67718516
Farnsworth Lake,UT,38.77,-111.68,2951.1,43.10545454545455,25.26773018
Fawn Creek,NV,41.82,-116.1,2133.6,47.54,27.870093790000002
